"iso","value"
"AFG",32
"ALB",93
"DZA",88
"ASM",63
"AND",100
"AGO",52
"AIA",98
"ARG",96
"ARM",90
"ABW",98
"AUS",100
"AUT",100
"AZE",89
"BHS",92
"BHR",99
"BGD",61
"BRB",96
"BLR",94
"BEL",100
"BLZ",91
"BEN",20
"BTN",50
"BOL",50
"BIH",95
"BWA",63
"BRA",83
"VGB",98
"BGR",86
"BFA",20
"BDI",48
"KHM",42
"CMR",46
"CAN",100
"CPV",72
"CYM",96
"CAF",22
"TCD",12
"CHL",99
"CHN",77
"COL",81
"COM",36
"COG",15
"COK",98
"CRI",95
"CIV",23
"HRV",97
"CUB",93
"CYP",100
"CZE",99
"COD",29
"DNK",100
"DJI",47
"DOM",84
"ECU",85
"EGY",95
"SLV",75
"GNQ",75
"ERI",16
"EST",97
"ETH",28
"FJI",91
"FIN",98
"FRA",99
"PYF",99
"GAB",42
"GMB",59
"GEO",86
"DEU",99
"GHA",15
"GRC",99
"GRL",100
"GRD",98
"GUM",90
"GTM",64
"GIN",20
"GNB",21
"GUY",84
"HTI",28
"HND",83
"HUN",98
"ISL",99
"IND",40
"IDN",61
"IRN",90
"IRQ",86
"IRL",91
"ISR",100
"ITA",100
"JAM",82
"JPN",100
"JOR",99
"KAZ",98
"KEN",30
"KIR",40
"PRK",82
"KOR",100
"KWT",100
"KGZ",93
"LAO",71
"LVA",88
"LBN",81
"LSO",30
"LBR",17
"LBY",97
"LTU",92
"LUX",98
"MDG",12
"MWI",41
"MYS",96
"MDV",98
"MLI",25
"MLT",100
"MHL",77
"MRT",40
"MUS",93
"MEX",85
"FSM",57
"MCO",100
"MNG",60
"MNE",96
"MAR",77
"MOZ",21
"MMR",80
"NAM",34
"NRU",66
"NPL",46
"NLD",98
"NCL",100
"NIC",68
"NER",11
"NGA",29
"NIU",100
"MNP",80
"NOR",98
"OMN",97
"PAK",64
"PLW",100
"PAN",75
"PNG",19
"PRY",89
"PER",76
"PHL",74
"POL",97
"PRT",100
"PRI",99
"QAT",98
"MDA",76
"REU",98
"ROU",79
"RUS",72
"RWA",62
"LCA",91
"WSM",92
"STP",35
"SAU",100
"SEN",48
"SRB",96
"SYC",98
"SLE",13
"SGP",100
"SVK",99
"SVN",99
"SLB",30
"ZAF",66
"SSD",7
"ESP",100
"LKA",95
"PSE",92
"SUR",79
"SWZ",58
"SWE",99
"CHE",100
"SYR",96
"TJK",95
"THA",93
"MKD",91
"TLS",41
"TGO",12
"TKL",91
"TON",91
"TTO",92
"TUN",92
"TUR",95
"UGA",19
"UKR",96
"ARE",98
"GBR",99
"TZA",16
"USA",100
"VIR",96
"URY",96
"UZB",100
"VUT",58
"VEN",94
"VNM",78
"ZMB",44
"ZWE",37